Ciudad;Habitaciones;Banhos;Superficie;Terraza;Ascensor;Parking;Tipo_vivienda;Calle;Precio;Barrio;Renta
Bilbao;2;1;75;N;S;N;Piso;"Calle Santutxu; Begoña - Santutxu";750;Santutxu;18165
Bilbao;1;1;45;N;S;N;Piso;"Alda. Mazarredo; Abando - Albia";780;Abando;40300
Bilbao;4;2;220;N;S;N;Piso;"Ercilla; Abando - Albia";1550;Abando;40300
Bilbao;3;2;87;N;S;N;Piso;"Indautxu Kalea; Indautxu";1200;Indautxu;40401
Bilbao;1;1;45;N;S;N;Piso;"Uribitarte; Abando - Albia";950;Abando;40300
Bilbao;3;1;65;N;S;N;Piso;"Estrada Zalbidea; Basurtu - Zorrotza";670;Basurtu;29709
Bilbao;3;2;90;N;S;N;Piso;Errekalde;1000;Errekalde;21172
Bilbao;2;1;60;N;S;N;Piso;"Camilo Villabaso Kalea; Errekalde";900;Errekalde;21172
Bilbao;4;3;200;N;S;N;Piso;"Calle del Correo; Ibaiondo";2300;Ibaiondo;30491
Bilbao;3;2;109;N;S;N;�tico;"Calle Hurtado de Amézaga; Abando - Albia";1550;Abando;40300
Bilbao;3;2;101;S;N;N;Piso;"Avenida Lehendakari Aguirre; Deusto";1200;Deusto;28537
Bilbao;3;2;89;N;S;N;Piso;"Calle Marcelino Oreja; Indautxu";1300;Indautxu;40401
Bilbao;3;1;95;N;N;N;Piso;"Fernandez del Campo; Indautxu";1250;Indautxu;40401
Bilbao;6;3;200;N;S;N;Piso;Errekalde;1800;Errekalde;21172
Bilbao;2;2;72;N;S;N;Piso;Errekalde;950;Errekalde;21172
Bilbao;1;1;65;S;S;N;Piso;"Paseo Campo de Volantín; Uribarri";1100;Uribarri;18654
Bilbao;3;3;119;N;S;N;Piso;"Gregorio de la Revilla; Indautxu";1200;Indautxu;40401
Bilbao;1;1;47;N;S;N;Piso;"Calle María Díaz de Haro; Indautxu";850;Indautxu;40401
Bilbao;4;2;140;N;S;N;Piso;"Calle Henao; Abando - Albia";1600;Abando;40300
Bilbao;2;2;70;S;S;N;Piso;"Carretera Basurto-castrejana; Basurtu - Zorrotza";950;Basurtu;29709
Bilbao;3;1;77;N;N;N;Piso;"Calle Encarnación; Ibaiondo";1200;Ibaiondo;30491
Bilbao;2;1;74;N;N;N;Piso;Errekalde;875;Errekalde;21172
Bilbao;1;1;55;N;S;N;Apartamento;"Sabino Arana Etorbidea; Basurtu - Zorrotza";800;Basurtu;29709
Bilbao;3;3;105;S;S;N;Piso;Deusto;1150;Deusto;28537
Bilbao;1;1;70;N;S;N;Piso;"Calle Gordóniz; Errekalde";750;Errekalde;21172
Bilbao;3;1;85;N;S;N;Piso;Deusto;1190;Deusto;28537
Bilbao;2;2;70;S;S;N;Piso;"Calle Henao; Abando - Albia";1100;Abando;40300
Bilbao;2;2;60;N;S;N;Piso;"Bilbao - Matiko Kalea; Uribarri";720;Uribarri;18654
Bilbao;1;1;50;N;S;N;Apartamento;"Calle General Concha; Indautxu";890;Indautxu;40401
Bilbao;2;1;63;N;N;N;Piso;"Castillo Jeneralaren Kalea Estudiantes de Septiemb; Ibaiondo";900;Ibaiondo;30491
Bilbao;3;1;70;S;S;N;Piso;Begoña - Santutxu;790;Santutxu;18165
Bilbao;3;2;115;N;S;N;Piso;"Lersundi; Abando - Albia";1800;Abando;40300
Bilbao;2;2;85;N;S;N;Piso;"Calle Ãvila; Errekalde";900;Errekalde;21172
Bilbao;2;2;83;N;S;N;Piso;Indautxu;1100;Indautxu;40401
Bilbao;1;1;45;N;S;N;Apartamento;"Huertas de la Villa; Uribarri";750;Uribarri;18654
Bilbao;2;1;80;N;S;N;Piso;Basurtu - Zorrotza;850;Basurtu;29709
Bilbao;4;2;143;S;S;N;�tico;Indautxu;2100;Indautxu;40401
Bilbao;3;2;125;N;S;N;Piso;Deusto;1200;Deusto;28537
Bilbao;2;2;110;N;S;N;Piso;Errekalde;1065;Errekalde;21172
Bilbao;3;2;125;N;S;N;Piso;Indautxu;1290;Indautxu;40401
Bilbao;3;2;85;N;N;N;Piso;"Calle Araneko; Deusto";1500;Deusto;28537
Bilbao;1;1;50;N;N;N;Piso;Ibaiondo;730;Ibaiondo;30491
Bilbao;2;1;65;N;N;N;Piso;"Mirasol Kondearen Kalea; Ibaiondo";775;Ibaiondo;30491
Bilbao;3;2;140;N;S;N;Piso;Abando - Albia;1550;Abando;40300
Bilbao;2;2;80;N;S;N;Piso;Abando - Albia;1350;Abando;40300
Bilbao;2;1;70;N;S;N;Piso;Indautxu;850;Indautxu;40401
Bilbao;2;1;78;S;S;N;Piso;"Múgica y Butrón Kalea; Uribarri";1000;Uribarri;18654
Bilbao;3;3;250;N;N;N;Piso;"Paseo Campo de Volantín; Uribarri";2500;Uribarri;18654
Bilbao;1;1;50;N;S;N;Apartamento;"Calle General Concha; Indautxu";950;Indautxu;40401
Bilbao;3;2;105;N;S;N;Piso;"Calle Islas Canarias; Deusto";1150;Deusto;28537
Bilbao;1;1;62;S;S;N;Piso;"Calle Biarritz; Errekalde";860;Errekalde;21172
Bilbao;2;2;85;N;S;N;Piso;"José María de Escuza Kalea; Indautxu";1100;Indautxu;40401
Bilbao;2;2;80;N;S;N;Piso;Indautxu;850;Indautxu;40401
Bilbao;1;1;60;N;S;N;Piso;Abando - Albia;1200;Abando;40300
Bilbao;1;1;65;N;S;N;Piso;"Calle Lehendakari Leizaola; Abando - Albia";1300;Abando;40300
Bilbao;1;1;50;N;S;N;Piso;"Avenida Sabino Arana; Basurtu - Zorrotza";850;Basurtu;29709
Bilbao;3;1;80;S;S;N;Piso;Ibaiondo;870;Ibaiondo;30491
Bilbao;1;1;74;N;S;N;Piso;"Calle Fernández del Campo; Indautxu";1100;Indautxu;40401
