Habitaciones,Banhos,Superficie,Barrio,Renta,Precio
2,1,75,8,18165,750
1,1,45,0,40300,780
4,2,220,0,40300,1550
3,2,87,1,40401,1200
1,1,45,0,40300,950
3,1,65,3,29709,670
3,2,90,6,21172,1000
2,1,60,6,21172,900
4,3,200,2,30491,2300
3,2,109,0,40300,1550
3,2,101,4,28537,1200
3,2,89,1,40401,1300
3,1,95,1,40401,1250
6,3,200,6,21172,1800
2,2,72,6,21172,950
1,1,65,7,18654,1100
3,3,119,1,40401,1200
1,1,47,1,40401,850
4,2,140,0,40300,1600
2,2,70,3,29709,950
3,1,77,2,30491,1200
2,1,74,6,21172,875
1,1,55,3,29709,800
3,3,105,4,28537,1150
1,1,70,6,21172,750
3,1,85,4,28537,1190
2,2,70,0,40300,1100
2,2,60,7,18654,720
1,1,50,1,40401,890
2,1,63,2,30491,900
3,1,70,8,18165,790
3,2,115,0,40300,1800
2,2,85,6,21172,900
2,2,83,1,40401,1100
1,1,45,7,18654,750
2,1,80,3,29709,850
4,2,143,1,40401,2100
3,2,125,4,28537,1200
2,2,110,6,21172,1065
3,2,125,1,40401,1290
3,2,85,4,28537,1500
1,1,50,2,30491,730
2,1,65,2,30491,775
3,2,140,0,40300,1550
2,2,80,0,40300,1350
2,1,70,1,40401,850
2,1,78,7,18654,1000
3,3,250,7,18654,2500
1,1,50,1,40401,950
3,2,105,4,28537,1150
1,1,62,6,21172,860
2,2,85,1,40401,1100
2,2,80,1,40401,850
1,1,60,0,40300,1200
1,1,65,0,40300,1300
1,1,50,3,29709,850
3,1,80,2,30491,870
1,1,74,1,40401,1100
4,2,125,1,40401,1600
1,1,50,3,29709,650
3,1,80,8,18165,850
3,2,90,1,40401,1200
3,3,120,4,28537,1150
2,2,85,1,40401,1350
1,1,70,2,30491,800
3,1,80,8,18165,850
3,2,90,1,40401,1200
4,2,110,4,28537,1800
1,1,55,0,40300,975
4,1,109,4,28537,1800
1,1,50,0,40300,800
2,1,60,3,29709,700
1,1,50,0,40300,975
2,2,126,4,28537,1400
1,1,55,1,40401,950
2,1,63,2,30491,850
2,1,60,8,18165,825
1,1,50,1,40401,950
4,2,168,0,40300,1400
3,2,106,2,30491,1050
2,2,85,1,40401,1200
1,1,20,5,26356,750
3,2,100,6,21172,1000
2,2,74,7,18654,1250
1,1,52,1,40401,800
3,2,91,3,29709,1300
2,1,72,0,40300,950
2,2,82,1,40401,1000
1,1,50,1,40401,800
3,2,81,4,28537,1100
2,2,83,2,30491,800
3,1,77,1,40401,1000
1,1,60,0,40300,750
2,1,70,6,21172,750
1,1,50,1,40401,850
2,2,126,4,28537,1400
3,2,90,7,18654,1200
1,1,60,3,29709,850
2,2,100,2,30491,990
2,1,60,6,21172,950
3,1,67,6,21172,700
3,1,65,3,29709,1500
2,2,80,8,18165,800
1,1,70,2,30491,1875
1,1,50,3,29709,875
1,1,45,1,40401,850
2,2,160,0,40300,2300
7,2,173,6,21172,1800
1,1,60,2,30491,800
2,1,65,8,18165,750
1,1,60,2,30491,770
3,2,130,4,28537,1200
3,2,90,6,21172,1000
2,2,75,1,40401,980
2,2,90,0,40300,1950
2,2,103,0,40300,1400
3,2,85,2,30491,1050
4,2,160,0,40300,1600
